[2019-08-29 13:27:11,502] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "yo", "password": "yo"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjcwNjAwMzEsIm5iZiI6MTU2NzA2MDAzMSwianRpIjoiNDRjOTFiODgtMzIyMS00NWExLTkyY2EtYTZlZWYyZGY4NWJiIiwiZXhwIjoxNTY3MTQ2NDMxLCJpZGVudGl0eSI6InlvIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjcsIm5hbWUiOiJ5byIsInN0YXR1cyI6ZmFsc2V9fQ.lbFeQx21-aYX4JFiQcTeNwO2NrsTaLFKmNdZjN7iEc0"}}
[2019-08-29 13:27:31,976] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "DELETE", "code": "200 OK", "uri": "/user/me?", "request": {"name": "ya", "username": "ya", "password": "ya"}, "response": null}
[2019-08-29 13:29:06,279] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "test2", "password": ""}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjcwNjAxNDYsIm5iZiI6MTU2NzA2MDE0NiwianRpIjoiN2RiNGZmNDYtMDRlOC00OGUyLTg4NTQtNzlhZDRjMzBjNzNjIiwiZXhwIjoxNTY3MTQ2NTQ2LCJpZGVudGl0eSI6InRlc3QyIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjQsIm5hbWUiOiJ0ZXN0MiIsInN0YXR1cyI6dHJ1ZX19.pAcAGk6hjPyuqAh8fd4FKOAyVsmdfXY87BAzdyvstvg"}}
[2019-08-29 14:44:09,119] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "unittesting", "password": "unittesting"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjcwNjQ2NDksIm5iZiI6MTU2NzA2NDY0OSwianRpIjoiNzI5ZjMxNmItMmVkZC00MTdlLTkzM2QtMjE5MjdhMDNhMjA2IiwiZXhwIjoxNTY3MTUxMDQ5LCJpZGVudGl0eSI6InVuaXR0ZXN0aW5nIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjExMCwibmFtZSI6InVuaXR0ZXN0aW5nIiwic3RhdHVzIjp0cnVlfX0.3up4mm5Bqppf_Y2pidZuGfL6XZTyhX9ZjFMC8ql-ah4"}}
[2019-08-29 14:44:24,900] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "DELETE", "code": "200 OK", "uri": "/user/me?", "request": {"name": "ya", "username": "ya", "password": "ya"}, "response": {"message": "User deleted"}}
[2019-08-29 15:21:30,463] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "shop", "password": "shop"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjcwNjY4OTAsIm5iZiI6MTU2NzA2Njg5MCwianRpIjoiZGI0NzU4MjAtNWZkZC00YzI4LThhOTYtMWFiZGE2NjNhOGVmIiwiZXhwIjoxNTY3MTUzMjkwLCJpZGVudGl0eSI6InNob3AiLCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJpZCI6MiwibmFtZSI6InNob3AiLCJzdGF0dXMiOnRydWV9fQ.jYThmg8V68odx9ytZSJhBBjMEckBKjrz6hO2D6KPZys"}}
[2019-08-29 15:21:50,146] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "PATCH", "code": "200 OK", "uri": "/item/rent/3?", "request": {"date": "2019-08-02", "duration": 1, "qty": 1}, "response": {"message": "succesfully add item to cart"}}
[2019-08-29 15:22:37,267] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "PATCH", "code": "200 OK", "uri": "/item/rent/3?", "request": {"date": "2019-08-02", "duration": 1, "qty": 1}, "response": {"message": "succesfully add item to cart"}}
[2019-08-29 15:22:51,291] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/cart/checkout?", "request": null, "response": [{"id": 11, "cart_id": 19, "user_id": 2, "item_id": 3, "date": "2019-08-02 00:00:00", "duration": 1, "qty": 3, "status": "waitpay", "price": 30000}]}
[2019-08-29 15:36:58,008] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "unittesting", "password": "unittesting"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjcwNjc4MTgsIm5iZiI6MTU2NzA2NzgxOCwianRpIjoiOGRmNTczZDMtZTYzNC00MTBiLWE3YmItZDgxYWY0YWY4MGM4IiwiZXhwIjoxNTY3MTU0MjE4LCJpZGVudGl0eSI6InVuaXR0ZXN0aW5nIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjE2NCwibmFtZSI6InVuaXR0ZXN0aW5nIiwic3RhdHVzIjp0cnVlfX0.-rJalEfFmaseZ-D6Ej38hPYqkAa9v30Co2MjDpyRdeI"}}
[2019-08-29 15:37:13,366] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:70} WARNING - REQUEST_LOG	{"method": "DELETE", "code": "200 OK", "uri": "/user/me?", "request": {"name": "ya", "username": "ya", "password": "ya"}, "response": {"message": "User deleted"}}
[2019-09-04 11:23:38,764] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:83} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "unittesting", "password": "unittesting"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1Njc1NzEwMTgsIm5iZiI6MTU2NzU3MTAxOCwianRpIjoiN2ExNmNmNWItMjI5My00MGM4LTgxYjQtN2QwMDhlNWU3ZmQxIiwiZXhwIjoxNTY3NjU3NDE4LCJpZGVudGl0eSI6InVuaXR0ZXN0aW5nIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjksIm5hbWUiOiJ1bml0dGVzdGluZyIsInN0YXR1cyI6dHJ1ZX19.h3aBaM_3K34rjnwbkPrPHfCP3pcuuOpD2GdS_vg9hrM"}}
[2019-09-04 11:28:22,219] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:83} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/user/addnew?", "request": {"name": "yo", "username": "yo", "password": "yo"}, "response": {"message": "Succesfully create new account"}}
[2019-09-04 11:28:30,472] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:83} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/public/login?", "request": {"username": "yo", "password": "yo"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1Njc1NzEzMTAsIm5iZiI6MTU2NzU3MTMxMCwianRpIjoiYjg4ZTRlZmQtMTJkZC00NDAzLTk0NWEtMzIzYTQ5MjcwYTcxIiwiZXhwIjoxNTY3NjU3NzEwLCJpZGVudGl0eSI6InlvIiwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjEzLCJuYW1lIjoieW8iLCJzdGF0dXMiOmZhbHNlfX0.r9rrPp9eAHzZ_9jkPrnztKRxoi3G735h6g4stFwckaQ"}}
[2019-09-04 11:29:04,112] {/home/alta11/Nada2/ProjectEcommers/project_ecommerce/blueprint/__init__.py:83} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/user/me?", "request": null, "response": {"id": 13, "name": "yo", "username": "yo", "password": "yo", "status": false}}
